ENO,ENAME,JOB,MGR,HIREDATE,SAL,COMM,DEPTNO
7369,SMITH,CLERK,7902,17-DEC-88,1000, - ,20
7499,ALLEN,SALESMAN,7698,20-FEB-89,1600,300,30
7521,WARD,SALESMAN,7698,22-FEB-89,1250,500,30
7566,JONES,MANAGER,7839,02-APR-89,2975, - ,20
7654,MARTI,SALESMAN,7698,28-SEP-89,1250,1400,30
7698,BLAKE,MANAGER,7839,01-MAY-89,2850, - ,30
7782,CLARK,MANAGER,7839,09-JUN-89,2450, - ,10
7788,WONG,ANALYST,7566,19-APR-87,3000, - ,20
7839,KING,PRESIDENT, - ,17-NOV-89,5000, - ,10
7844,TURN,SALESMAN,7698,08-SEP-89,1500,0,30
7876,ADAM,CLERK,7788,23-MAY-87,1100, - ,20
7900,JAMES,CLERK,7698,03-DEC-89,950, - ,30
7902,FORD,ANALYST,7566,03-DEC-89,3000, - ,20
7934,MILLE,CLERK,7782,23-JAN-86,1300, - ,10
